ST_CASE,AGE,SEX,REST_USE,INJ_SEV,DRINKING,DRUGS,PER_TYP
10086,45,1,7,3,9,9,1
10087,86,1,3,4,0,0,1
10087,83,2,3,4,8,8,2
10088,18,2,3,0,0,0,1
10089,52,1,7,4,1,9,1
10090,40,1,99,0,0,0,1
10090,51,2,99,0,0,0,1
10091,20,2,99,0,0,0,1
10091,999,2,99,2,8,8,2
10091,61,2,99,4,0,0,1
10091,63,2,99,3,8,8,2
10092,17,1,3,0,0,0,1
10092,38,2,3,0,8,8,2
10092,43,1,5,4,0,0,1
10093,29,1,2,4,9,0,1
10093,29,1,3,4,9,0,1
10093,45,1,3,3,0,0,1
10094,50,2,3,4,9,9,1
10095,46,1,3,1,0,0,1
10095,49,2,3,4,0,0,1
10095,21,1,3,2,8,8,2
10095,10,1,3,4,8,8,2
10095,7,2,3,3,8,8,2
10095,50,1,7,4,8,8,2
10095,63,1,99,2,0,0,1
10095,35,2,3,3,0,0,1
10095,39,2,3,2,0,0,1
10095,35,2,3,0,0,0,1
10095,41,1,3,1,0,0,1
10095,44,1,3,2,8,8,2
10095,28,2,3,2,0,0,1
10095,59,1,3,0,0,0,1
10095,43,1,3,0,0,0,1
10096,34,2,7,4,9,9,1
10097,59,1,7,4,9,9,1
10097,36,2,7,4,9,9,1
10098,25,1,3,0,0,0,1
10099,20,1,0,4,0,0,1
10101,18,1,7,4,1,0,1
10101,17,1,7,3,8,8,2
10102,40,1,7,4,1,0,1
10103,31,1,3,2,1,1,1
10103,25,1,7,4,8,8,2
10104,91,1,7,4,9,9,1
10104,80,2,7,4,8,8,2
10104,53,2,3,2,9,9,1
10105,39,1,7,2,1,1,1
10105,29,1,99,4,8,8,2
10106,26,1,7,4,1,9,1
10107,34,1,7,4,1,9,1
10107,51,1,3,0,0,0,1
10108,57,2,3,3,9,9,1
10108,62,2,3,4,9,9,1
10108,19,2,3,1,8,8,2
10109,22,2,7,4,0,0,1
10109,32,2,3,2,0,0,1
10109,25,1,3,0,0,0,1
10110,46,1,5,4,9,9,1
10111,24,1,7,4,1,0,1
10111,21,1,3,1,8,8,2
10112,64,2,7,4,9,9,1
10113,48,1,3,0,0,0,1
10113,49,2,3,0,8,8,2
10114,30,2,3,1,1,9,1
10114,45,2,3,4,9,9,1
10115,32,2,3,4,0,0,1
10116,49,1,3,0,9,9,1
10116,48,1,16,2,9,9,1
10116,45,2,16,4,8,8,2
