ST_CASE,AGE,SEX,REST_USE,INJ_SEV,DRINKING,DRUGS,PER_TYP
10001,28,1,0,4,9,9,5
10001,37,2,99,0,9,9,1
10001,99,9,0,0,8,8,2
10001,99,9,0,0,8,8,2
10001,99,9,0,0,8,8,2
10002,48,1,3,4,9,9,1
10003,90,2,3,4,0,0,1
10004,31,2,0,4,1,9,1
10005,16,1,0,4,0,0,1
10005,40,1,3,0,0,0,1
10005,53,2,3,4,0,0,1
10006,13,1,0,4,0,0,6
10006,26,2,3,0,0,0,1
10006,99,9,3,0,0,0,2
10006,99,9,3,0,0,0,2
10006,99,9,2,0,8,8,2
10006,99,9,3,0,8,8,2
10007,39,2,3,4,0,0,1
10007,44,2,0,3,8,8,2
10008,20,2,0,4,0,0,1
10009,30,2,3,3,1,9,1
10009,20,2,0,4,8,8,2
10009,14,1,2,3,8,8,2
10009,16,1,0,3,8,8,2
10010,22,1,0,3,0,0,1
10010,17,1,3,4,8,8,2
10010,28,1,0,4,8,8,2
10011,16,1,0,3,0,0,1
10011,48,2,0,4,8,8,2
10012,28,1,3,3,1,9,1
10012,26,1,3,3,8,8,2
10012,23,1,0,4,8,8,2
10013,17,1,0,4,9,9,1
10013,33,1,3,3,9,9,1
10014,24,2,0,4,9,9,1
10015,30,1,0,4,1,9,1
10016,16,1,0,3,9,9,1
10016,17,2,0,4,8,8,2
10016,16,1,0,0,0,0,1
10016,99,9,0,0,8,8,2
10017,35,2,0,4,1,9,1
10018,61,1,3,4,9,9,1
10019,5,1,0,4,0,0,5
10019,49,1,2,0,0,0,1
10020,20,1,0,4,8,8,1
10020,18,1,0,3,8,8,2
10021,18,1,0,4,0,0,1
10021,43,1,3,2,0,0,1
10022,58,1,3,3,0,0,1
10022,34,1,3,3,8,8,2
10022,55,2,0,3,8,8,2
10022,65,2,0,4,8,8,2
10022,37,1,3,3,0,0,1
10023,44,1,0,4,9,8,1
10024,20,2,0,4,9,9,1
10024,15,2,3,4,8,8,2
10025,11,1,0,4,0,0,5
10025,66,1,3,0,0,0,1
10025,99,9,3,0,8,8,2
10025,99,9,2,0,8,8,2
10025,99,9,3,0,8,8,2
10026,21,1,0,4,1,9,1
10027,76,1,3,4,0,0,1
10027,76,2,3,3,8,8,2
10027,17,2,3,0,0,0,1
10028,29,1,0,4,0,1,1
10029,37,1,0,4,0,0,1
10030,49,1,0,4,1,9,1
10030,25,1,0,4,8,8,2
10031,43,1,0,4,1,9,1
10032,23,2,0,4,1,9,1
10033,43,1,0,4,9,9,1
10033,31,2,0,4,8,8,2
10033,46,1,3,3,0,0,1
10034,48,1,0,4,1,9,1
10034,48,1,0,3,8,8,2
10035,29,2,0,4,0,1,1
10035,21,2,0,4,8,8,2
10035,1,1,4,3,8,8,2
10036,19,2,0,4,0,0,1
10037,48,2,3,4,9,9,1
10037,6,1,3,4,8,8,2
10038,40,2,3,4,1,1,1
10039,18,2,0,4,9,9,1
10039,33,2,3,3,9,9,1
10039,12,1,0,3,8,8,2
10039,7,2,0,3,8,8,2
10039,36,1,3,0,0,0,1
10040,31,2,0,4,1,0,1
10041,77,1,3,4,0,0,1
10041,75,2,3,3,8,8,2
10041,23,1,3,3,0,0,1
10042,26,2,2,4,9,9,1
10042,16,2,2,3,8,8,2
10042,51,2,0,3,0,0,1
10043,20,1,0,3,1,9,1
10043,22,1,0,4,8,8,2
10044,63,2,0,4,0,0,1
10044,79,1,0,4,0,0,1
10045,18,2,3,3,9,9,1
10045,40,2,0,4,9,9,1
10045,26,2,3,3,8,8,2
10045,8,1,0,3,8,8,2
10045,3,2,4,3,8,8,2
10045,6,1,0,3,8,8,2
10046,79,2,3,4,0,0,1
10047,23,2,0,4,9,9,1
10047,21,1,0,3,0,0,1
10047,21,1,0,3,8,8,2
10047,20,1,3,3,8,8,2
10048,23,1,0,4,1,9,1
10049,37,1,0,4,1,9,1
10050,18,1,0,0,0,0,1
10050,99,9,0,0,8,8,2
10050,15,2,0,4,8,8,2
10050,15,2,3,3,8,8,2
10051,46,2,3,4,0,0,1
10051,13,2,3,3,8,8,2
10052,22,1,0,4,1,9,1
10052,19,1,0,3,8,8,2
10052,46,1,3,0,0,0,1
10053,26,1,0,4,1,9,1
10053,27,1,0,3,8,8,2
10053,29,2,1,3,0,0,1
10053,20,2,0,3,8,8,2
10053,19,2,0,3,8,8,2
10054,56,1,0,4,0,1,1
10054,57,2,0,3,8,8,2
10054,15,1,0,3,8,8,2
10054,9,1,0,3,8,8,2
10054,6,2,0,3,8,8,2
