ST_CASE,AGE,SEX,REST_USE,INJ_SEV,DRINKING,DRUGS,PER_TYP
10001,59,1,5,4,1,0,1
10002,17,2,3,4,0,0,1
10003,38,2,0,4,1,9,1
10003,41,1,3,0,0,0,1
10004,88,1,3,4,0,0,1
10004,90,2,3,3,8,8,2
10004,26,1,3,0,0,0,1
10004,99,9,99,1,8,8,2
10005,21,1,3,0,1,0,1
10005,18,1,3,3,8,8,2
10005,99,9,2,0,8,8,2
10005,21,1,0,4,1,0,1
10006,71,1,0,4,0,0,1
10006,57,1,0,0,0,0,1
10006,19,1,3,3,0,0,1
10007,56,1,0,4,0,0,1
10007,45,1,3,0,0,0,1
10008,50,1,5,4,0,0,1
10009,22,2,0,3,0,0,1
10009,22,2,3,4,0,0,1
10009,18,2,0,4,8,8,2
10009,39,2,3,3,0,0,1
10009,44,2,3,0,0,0,1
10010,43,2,0,4,1,1,1
10011,29,2,0,3,1,9,1
10011,28,2,0,3,8,8,2
10011,29,1,0,4,1,8,2
10012,41,2,3,4,1,9,1
10013,37,1,0,4,9,9,5
10013,37,1,3,3,0,9,1
10013,48,1,3,3,0,0,1
10014,41,1,0,4,9,9,1
10015,26,1,0,4,1,9,1
10016,20,1,3,4,0,9,1
10017,47,1,0,4,0,0,5
10017,57,1,3,0,0,0,1
10018,13,1,0,4,0,0,5
10018,28,1,5,3,9,9,1
10018,27,2,5,3,8,9,2
10019,18,1,99,3,0,9,1
10019,18,2,0,4,8,9,2
10020,37,2,3,3,0,0,1
10020,14,2,3,4,8,8,2
10020,11,1,3,3,8,8,2
10020,54,1,3,3,0,0,1
10021,41,1,0,4,9,9,1
10022,30,2,3,0,0,0,1
10022,33,1,5,4,0,0,1
10022,57,1,5,3,0,0,1
10022,47,1,5,3,0,0,1
10022,20,1,3,0,0,0,1
10023,83,1,3,3,0,0,1
10023,67,2,3,4,8,8,2
10023,37,2,3,3,0,0,1
10024,18,1,3,4,0,0,1
10024,99,9,3,0,8,8,2
10025,56,1,0,4,1,9,1
10025,49,2,3,3,0,0,1
10025,42,1,0,3,8,8,2
10026,27,1,3,4,1,9,1
10027,50,1,0,4,9,9,5
10027,65,1,3,0,0,0,1
10028,19,1,0,3,1,9,1
10028,16,2,0,3,0,0,1
10028,14,2,0,4,8,8,2
10028,14,2,0,4,8,8,2
10029,55,2,0,4,0,0,1
10029,24,1,0,3,0,0,1
10030,76,1,0,4,9,9,1
10031,22,2,3,1,0,0,1
10031,28,1,0,3,8,8,2
10031,3,2,0,4,8,8,2
10031,21,1,3,1,0,0,1
10032,44,1,0,4,1,9,1
10033,20,1,0,4,0,0,1
10034,19,1,0,4,0,0,1
10035,26,2,0,4,9,9,1
10035,29,1,0,3,8,8,2
10035,4,1,4,3,8,8,2
10035,4,1,4,3,8,8,2
10036,49,1,5,4,9,9,1
10036,36,1,3,3,0,0,1
10037,76,2,3,3,0,0,1
10037,82,1,3,4,8,8,2
10037,66,2,3,0,0,0,1
10038,16,2,3,3,0,0,1
10038,74,1,3,4,0,0,1
10038,52,2,3,3,8,8,2
10039,81,1,3,4,0,9,1
10039,23,1,3,0,0,0,1
10039,99,9,0,0,8,8,2
10039,99,9,3,0,8,8,2
10039,99,9,3,0,8,8,2
10039,99,9,3,0,8,8,2
10040,49,2,3,4,9,9,1
10040,60,1,3,0,0,0,1
10041,41,1,0,4,9,9,5
10041,99,9,99,0,8,9,1
10042,87,1,3,3,0,0,1
10042,88,2,3,4,8,9,2
10042,59,1,3,3,0,0,1
10043,58,1,5,4,9,9,1
10044,30,1,3,0,0,0,1
10044,47,1,3,4,8,8,2
10044,99,9,99,9,9,9,1
10045,31,2,0,4,9,9,1
10045,17,2,0,3,8,9,2
10046,16,1,0,0,0,0,1
10046,16,1,0,4,8,9,2
10047,20,1,3,3,9,9,1
10047,18,1,3,3,8,9,2
10047,19,1,0,4,8,9,2
10047,19,1,0,4,8,9,2
10048,47,2,0,4,0,0,1
10049,27,2,99,4,0,0,1
10049,56,1,3,0,0,0,1
10050,57,1,3,4,9,9,1
10051,38,1,0,4,0,0,1
10051,57,2,3,4,0,0,1
10052,31,2,0,4,0,0,1
10052,6,1,3,3,8,8,2
10053,53,2,3,4,0,0,1
10054,22,1,0,4,9,9,1
